SAPID,Date,Unit_id,Unit_name,retirement
SAPID,Date,Unit_id,Unit_name,retirement
SAPID,Date,Unit_id,Unit_name,retirement
"11006206","41153","50000142","Wydział Biologii i Nauk o",
"11006210","40904","50000141","Wydział Chemii",
"11006211","39814","50000142","Wydział Biologii i Nauk o",
"11006216","39814","50000135","Wydział Filozoficzny",
"11006218","39814","50000141","Wydział Chemii",
"11006224","40817","50000143","Wydz.Biochemii, Biofiz. i",
"11006234","40087","50000139","Wydz. Fizyki, Astronom. i",
"11006238","39965","50000138","Wydział Polonistyki",
"11006241","41275","50000055","Pion Pror. ds. polit. kad",
"11006303","40210","50000136","Wydział Historyczny",
"11006307","40057","50000145","Wydz. Studiów Międzynarod",
"11006410","39965","50000136","Wydział Historyczny",
"11006413","41153","50000139","Wydz. Fizyki, Astronom. i",
"11006445","39814","50000142","Wydział Biologii i Nauk o",
"11006457","39814","50000135","Wydział Filozoficzny",
"11006507","41275","50000055","Pion Pror. ds. polit. kad",
"11006533","39814","50000137","Wydział Filologiczny",
"11006535","39814","50000137","Wydział Filologiczny",
"11006536","39965","50000138","Wydział Polonistyki",
"11006543","39934","50000053","Pion Prorektora ds. dydak",
"11006544","39814","50000137","Wydział Filologiczny",
"11006545","40087","50000145","Wydz. Studiów Międzynarod",
"11006548","39965","50000138","Wydział Polonistyki",
"11006549","39814","50000137","Wydział Filologiczny",
"11006555","41030","50000138","Wydział Polonistyki",
"11006557","41030","50000137","Wydział Filologiczny",
"11006561","39965","50000138","Wydział Polonistyki",
"11006567","40087","50000143","Wydz.Biochemii, Biofiz. i",
"11006568","40544","50000144","Wydz. Zarządz. i Komunika",
"11006575","39814","50000140","Wydział Matematyki i Info",
"11006577","41591","50000140","Wydział Matematyki i Info",
"11006579","39814","50000141","Wydział Chemii",
"11006581","41183","50000141","Wydział Chemii",
"11006612","39814","50000139","Wydz. Fizyki, Astronom. i",
"11006613","39965","50000141","Wydział Chemii",
"11006617","40360","50000139","Wydz. Fizyki, Astronom. i",
"11006618","39814","50000139","Wydz. Fizyki, Astronom. i",
"11006623","40360","50019230","Pion Rektora",
"11006643","41153","50000141","Wydział Chemii",
"11006644","39814","50000139","Wydz. Fizyki, Astronom. i",
"11006648","39814","50000139","Wydz. Fizyki, Astronom. i",
"11006649","39814","50000139","Wydz. Fizyki, Astronom. i",
"11006654","41185","50000140","Wydział Matematyki i Info",
"11006655","41153","50000139","Wydz. Fizyki, Astronom. i",
"11006659","39814","50000139","Wydz. Fizyki, Astronom. i",
"11006668","41277","50000136","Wydział Historyczny",
"11006669","39814","50000135","Wydział Filozoficzny",
"11006670","40180","50000144","Wydz. Zarządz. i Komunika",
"11006672","40544","50000144","Wydz. Zarządz. i Komunika",
"11006673","39814","50000135","Wydział Filozoficzny",
"11006677","39965","50000136","Wydział Historyczny",
"11006684","41183","50000134","Wydział Prawa i Administr",
"11006689","40180","50000144","Wydz. Zarządz. i Komunika",
"11006691","40634","50000134","Wydział Prawa i Administr",
"11006692","39934","50000053","Pion Prorektora ds. dydak",
"11006693","39934","50000053","Pion Prorektora ds. dydak",
"11006744","40634","50000142","Wydział Biologii i Nauk o",
"11006765","40179","50000145","Wydz. Studiów Międzynarod",
"11006775","41156","50000137","Wydział Filologiczny",
"11006791","39965","50000136","Wydział Historyczny",
"11006887","40544","50000135","Wydział Filozoficzny",
"11006945","40575","50000138","Wydział Polonistyki",
"11006962","40604","50000144","Wydz. Zarządz. i Komunika",
"11007060","40878","50000144","Wydz. Zarządz. i Komunika",
"11007067","39814","50000139","Wydz. Fizyki, Astronom. i",
"11007103","41153","50000139","Wydz. Fizyki, Astronom. i",
"11007104","39814","50000140","Wydział Matematyki i Info",
"11007113","39814","50000142","Wydział Biologii i Nauk o",
"11007128","40575","50000141","Wydział Chemii",
"11007134","39814","50000135","Wydział Filozoficzny",
"11007137","41153","50000144","Wydz. Zarządz. i Komunika",
"11007139","41200","50000135","Wydział Filozoficzny",
"11007141","41183","50000135","Wydział Filozoficzny",
"11007147","40575","50000144","Wydz. Zarządz. i Komunika",
"11007150","40360","50000135","Wydział Filozoficzny",
"11007152","39934","50000053","Pion Prorektora ds. dydak",
"11007165","41030","50000134","Wydział Prawa i Administr",
"11007169","39965","50000145","Wydz. Studiów Międzynarod",
"11007172","39934","50000053","Pion Prorektora ds. dydak","41918"
"11007175","39934","50000053","Pion Prorektora ds. dydak",
"11007178","39934","50000053","Pion Prorektora ds. dydak",
"11007179","39814","50000137","Wydział Filologiczny",
"11007187","39965","50000138","Wydział Polonistyki",
"11007196","40575","50000137","Wydział Filologiczny",
"11007198","41153","50000137","Wydział Filologiczny",
"11007200","40576","50000137","Wydział Filologiczny",
"11007205","39814","50000137","Wydział Filologiczny",
"11007206","39814","50000137","Wydział Filologiczny",
"11007207","39814","50000137","Wydział Filologiczny",
"11007208","39965","50000138","Wydział Polonistyki",
"11007209","40180","50000144","Wydz. Zarządz. i Komunika",
"11007214","41153","50000137","Wydział Filologiczny",
"11007215","39965","50000138","Wydział Polonistyki",
"11007273","39814","50000142","Wydział Biologii i Nauk o",
"11007284","41153","50000136","Wydział Historyczny",
"11007286","41183","50000135","Wydział Filozoficzny",
"11007291","39814","50000135","Wydział Filozoficzny",
"11007296","39814","50000145","Wydz. Studiów Międzynarod",
"11007349","39814","50000140","Wydział Matematyki i Info",
"11007350","39814","50000142","Wydział Biologii i Nauk o",
"11007357","39814","50000142","Wydział Biologii i Nauk o",
"11007359","39814","50000139","Wydz. Fizyki, Astronom. i",
"11007367","39814","50000142","Wydział Biologii i Nauk o",
"11007368","40969","50000141","Wydział Chemii",
"11007369","39814","50000140","Wydział Matematyki i Info",
"11007370","39965","50000142","Wydział Biologii i Nauk o",
"11007371","41153","50000142","Wydział Biologii i Nauk o",
"11007372","40575","50000139","Wydz. Fizyki, Astronom. i",
"11007374","40210","50000143","Wydz.Biochemii, Biofiz. i",
"11007377","39814","50000140","Wydział Matematyki i Info",
"11007395","39814","50000142","Wydział Biologii i Nauk o",
"11007433","40483","50000135","Wydział Filozoficzny",
"11007509","39814","50000142","Wydział Biologii i Nauk o",
"11007534","39965","50000142","Wydział Biologii i Nauk o",
"11007569","39814","50000141","Wydział Chemii",
"11007573","39814","50000140","Wydział Matematyki i Info",
"11007627","39814","50000139","Wydz. Fizyki, Astronom. i",
"11007631","39965","50000142","Wydział Biologii i Nauk o",
"11007690","40900","50000138","Wydział Polonistyki",
"11007692","39814","50000140","Wydział Matematyki i Info",
"11007696","41153","50000137","Wydział Filologiczny",
"11007698","39965","50000137","Wydział Filologiczny",
"11007701","40576","50000137","Wydział Filologiczny",
"11007707","39965","50000138","Wydział Polonistyki",
"11007708","40848","50000138","Wydział Polonistyki",
"11007710","39965","50000138","Wydział Polonistyki",
"11007804","40246","50000142","Wydział Biologii i Nauk o",
"11007821","39814","50000140","Wydział Matematyki i Info",
"11007832","41275","50000139","Wydz. Fizyki, Astronom. i",
"11007853","40878","50000144","Wydz. Zarządz. i Komunika",
"11007883","41183","50000143","Wydz.Biochemii, Biofiz. i",
"11007886","41214","50000143","Wydz.Biochemii, Biofiz. i",
"11007896","39814","50000141","Wydział Chemii",
"11007897","40603","50000142","Wydział Biologii i Nauk o",
"11007904","41091","50000145","Wydz. Studiów Międzynarod",
"11007906","40575","50000144","Wydz. Zarządz. i Komunika",
"11007910","39814","50000135","Wydział Filozoficzny",
"11007925","39814","50000135","Wydział Filozoficzny",
"11007927","41153","50000135","Wydział Filozoficzny",
"11007929","39814","50000135","Wydział Filozoficzny",
"11007945","41183","50000139","Wydz. Fizyki, Astronom. i",
"11007947","39814","50000141","Wydział Chemii",
"11007971","41275","50000055","Pion Pror. ds. polit. kad",
"11007978","39814","50000141","Wydział Chemii",
"11008018","40281","50000134","Wydział Prawa i Administr",
"11008023","40634","50000142","Wydział Biologii i Nauk o",
"11008034","39814","50000145","Wydz. Studiów Międzynarod",
"11008035","41183","50000145","Wydz. Studiów Międzynarod",
"11008042","41093","50000145","Wydz. Studiów Międzynarod",
"11008044","40817","50000134","Wydział Prawa i Administr",
"11008133","39814","50000142","Wydział Biologii i Nauk o",
"11008363","39965","50000134","Wydział Prawa i Administr",
"11008397","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008404","41214","50000136","Wydział Historyczny",
"11008440","39814","50000140","Wydział Matematyki i Info",
"11008466","39814","50000144","Wydz. Zarządz. i Komunika",
"11008492","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008514","39814","50000142","Wydział Biologii i Nauk o",
"11008563","41275","50000055","Pion Pror. ds. polit. kad",
"11008585","40909","50000142","Wydział Biologii i Nauk o",
"11008586","40725","50000142","Wydział Biologii i Nauk o",
"11008587","40695","50000142","Wydział Biologii i Nauk o",
"11008588","39814","50000142","Wydział Biologii i Nauk o",
"11008593","39814","50000137","Wydział Filologiczny",
"11008595","40057","50000138","Wydział Polonistyki",
"11008597","39965","50000138","Wydział Polonistyki",
"11008600","39965","50000138","Wydział Polonistyki",
"11008603","39965","50000145","Wydz. Studiów Międzynarod",
"11008606","39934","50000053","Pion Prorektora ds. dydak",
"11008607","39814","50000137","Wydział Filologiczny",
"11008621","40483","50000135","Wydział Filozoficzny",
"11008623","39814","50000135","Wydział Filozoficzny",
"11008653","39814","50000145","Wydz. Studiów Międzynarod",
"11008665","39814","50000144","Wydz. Zarządz. i Komunika",
"11008688","41244","50000142","Wydział Biologii i Nauk o",
"11008690","40575","50000137","Wydział Filologiczny",
"11008725","41215","50000140","Wydział Matematyki i Info",
"11008726","41153","50000140","Wydział Matematyki i Info",
"11008728","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008730","41030","50000134","Wydział Prawa i Administr",
"11008736","41275","50000141","Wydział Chemii","41548"
"11008739","39934","50000053","Pion Prorektora ds. dydak",
"11008742","39934","50000053","Pion Prorektora ds. dydak",
"11008751","39995","50000140","Wydział Matematyki i Info",
"11008752","39965","50000140","Wydział Matematyki i Info",
"11008759","40575","50000139","Wydz. Fizyki, Astronom. i",
"11008760","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008764","40695","50000141","Wydział Chemii",
"11008769","39814","50000135","Wydział Filozoficzny",
"11008780","40087","50000134","Wydział Prawa i Administr",
"11008782","40179","50000134","Wydział Prawa i Administr",
"11008791","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008828","41183","50000138","Wydział Polonistyki",
"11008831","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008850","39814","50000139","Wydz. Fizyki, Astronom. i",
"11008883","40458","50000136","Wydział Historyczny",
"11008884","41153","50000135","Wydział Filozoficzny",
"11008888","40603","50000137","Wydział Filologiczny",
"11008927","39814","50000140","Wydział Matematyki i Info",
"11008930","40725","50000140","Wydział Matematyki i Info",
"11008933","39814","50000134","Wydział Prawa i Administr",
"11008940","39814","50000140","Wydział Matematyki i Info",
"11008941","39814","50000140","Wydział Matematyki i Info",
"11008942","39965","50000140","Wydział Matematyki i Info",
"11008943","41153","50000140","Wydział Matematyki i Info",
"11008944","39814","50000142","Wydział Biologii i Nauk o",
"11009008","41183","50000141","Wydział Chemii",
"11009067","41153","50000144","Wydz. Zarządz. i Komunika",
"11009072","39855","50000138","Wydział Polonistyki",
"11009073","41153","50000137","Wydział Filologiczny",
"11009074","41183","50000138","Wydział Polonistyki",
"11009075","39965","50000138","Wydział Polonistyki",
"11009076","41153","50000138","Wydział Polonistyki",
"11009078","39965","50000138","Wydział Polonistyki",
"11009081","40210","50000137","Wydział Filologiczny",
"11009082","39814","50000137","Wydział Filologiczny",
"11009087","39814","50000137","Wydział Filologiczny",
"11009088","39814","50000137","Wydział Filologiczny",
"11009089","39814","50000137","Wydział Filologiczny",
"11009090","40817","50000137","Wydział Filologiczny",
"11009094","40603","50000137","Wydział Filologiczny",
"11009096","40603","50000137","Wydział Filologiczny",
"11009098","41214","50000144","Wydz. Zarządz. i Komunika",
"11009101","40909","50000134","Wydział Prawa i Administr",
"11009130","41183","50000134","Wydział Prawa i Administr",
"11009134","39814","50000142","Wydział Biologii i Nauk o",
"11009135","40909","50000142","Wydział Biologii i Nauk o",
"11009137","39814","50000142","Wydział Biologii i Nauk o",
"11009146","39814","50000142","Wydział Biologii i Nauk o",
"11009147","39814","50000140","Wydział Matematyki i Info",
"11009148","40452","50000142","Wydział Biologii i Nauk o",
"11009149","39814","50000142","Wydział Biologii i Nauk o",
"11009151","40544","50000135","Wydział Filozoficzny",
"11009156","39814","50000135","Wydział Filozoficzny",
"11009161","40483","50000135","Wydział Filozoficzny",
"11009163","39814","50000135","Wydział Filozoficzny",
"11009167","39814","50000136","Wydział Historyczny",
"11009218","39934","50000053","Pion Prorektora ds. dydak",
"11009219","39965","50000136","Wydział Historyczny",
"11009232","39965","50000138","Wydział Polonistyki",
"11009249","40483","50000138","Wydział Polonistyki",
"11009271","41153","50000140","Wydział Matematyki i Info",
"11009294","41072","50000135","Wydział Filozoficzny",
"11009297","40238","50000134","Wydział Prawa i Administr",
"11009299","40118","50000134","Wydział Prawa i Administr",
"11009300","39965","50000138","Wydział Polonistyki",
"11009351","40603","50000142","Wydział Biologii i Nauk o",
"11009398","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009399","39965","50000141","Wydział Chemii",
"11009402","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009404","40817","50000139","Wydz. Fizyki, Astronom. i",
"11009405","41153","50000139","Wydz. Fizyki, Astronom. i",
"11009406","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009423","41153","50000139","Wydz. Fizyki, Astronom. i",
"11009440","39814","50000137","Wydział Filologiczny",
"11009643","39814","50000135","Wydział Filozoficzny",
"11009645","39814","50000144","Wydz. Zarządz. i Komunika",
"11009695","41153","50000137","Wydział Filologiczny",
"11009700","39814","50000137","Wydział Filologiczny",
"11009702","40087","50000138","Wydział Polonistyki",
"11009703","39814","50000137","Wydział Filologiczny",
"11009705","39814","50000137","Wydział Filologiczny",
"11009721","41275","50000142","Wydział Biologii i Nauk o",
"11009744","41030","50000138","Wydział Polonistyki",
"11009757","39753","50000145","Wydz. Studiów Międzynarod",
"11009775","41153","50000137","Wydział Filologiczny",
"11009779","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009784","40695","50000145","Wydz. Studiów Międzynarod",
"11009787","41183","50000134","Wydział Prawa i Administr",
"11009793","40817","50000145","Wydz. Studiów Międzynarod",
"11009795","39965","50000136","Wydział Historyczny",
"11009796","39814","50000143","Wydz.Biochemii, Biofiz. i",
"11009838","39934","50000053","Pion Prorektora ds. dydak",
"11009885","41275","50000055","Pion Pror. ds. polit. kad",
"11009894","40575","50000143","Wydz.Biochemii, Biofiz. i",
"11009904","40452","50000137","Wydział Filologiczny",
"11009920","40087","50000142","Wydział Biologii i Nauk o",
"11009939","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009941","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009942","39814","50000140","Wydział Matematyki i Info",
"11009943","39814","50000134","Wydział Prawa i Administr",
"11009949","40909","50000142","Wydział Biologii i Nauk o",
"11009960","41201","50000145","Wydz. Studiów Międzynarod",
"11009970","41214","50000141","Wydział Chemii",
"11009972","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009973","39814","50000139","Wydz. Fizyki, Astronom. i",
"11009974","41091","50000141","Wydział Chemii",
"11010016","41183","50000143","Wydz.Biochemii, Biofiz. i",
"11010069","41153","50000142","Wydział Biologii i Nauk o",
"11010070","39814","50000143","Wydz.Biochemii, Biofiz. i",
"11010083","40238","50000139","Wydz. Fizyki, Astronom. i",
"11010084","41091","50000141","Wydział Chemii",
"11010087","40483","50000138","Wydział Polonistyki",
"11010088","39965","50000138","Wydział Polonistyki",
"11010094","40483","50000138","Wydział Polonistyki",
"11010122","40360","50000136","Wydział Historyczny",
"11010124","39814","50000135","Wydział Filozoficzny",
"11010130","41153","50000145","Wydz. Studiów Międzynarod",
"11010132","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010134","41153","50000137","Wydział Filologiczny",
"11010151","39934","50000053","Pion Prorektora ds. dydak",
"11010175","39934","50000053","Pion Prorektora ds. dydak",
"11010190","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010236","39814","50000145","Wydz. Studiów Międzynarod",
"11010251","41275","50000143","Wydz.Biochemii, Biofiz. i",
"11010260","40695","50000140","Wydział Matematyki i Info",
"11010265","40087","50000142","Wydział Biologii i Nauk o",
"11010291","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010292","40575","50000139","Wydz. Fizyki, Astronom. i",
"11010294","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010298","41153","50000140","Wydział Matematyki i Info",
"11010299","40575","50000139","Wydz. Fizyki, Astronom. i",
"11010334","40603","50000136","Wydział Historyczny",
"11010425","39814","50000142","Wydział Biologii i Nauk o",
"11010439","40634","50000137","Wydział Filologiczny",
"11010440","40634","50000137","Wydział Filologiczny",
"11010449","41153","50000144","Wydz. Zarządz. i Komunika",
"11010454","40969","50000138","Wydział Polonistyki",
"11010457","41153","50000142","Wydział Biologii i Nauk o",
"11010460","40544","50000144","Wydz. Zarządz. i Komunika",
"11010461","40945","50000135","Wydział Filozoficzny",
"11010463","40483","50000135","Wydział Filozoficzny",
"11010466","39814","50000136","Wydział Historyczny",
"11010469","39814","50000135","Wydział Filozoficzny",
"11010470","39814","50000140","Wydział Matematyki i Info",
"11010471","40940","50000136","Wydział Historyczny",
"11010483","39965","50000136","Wydział Historyczny",
"11010499","39965","50000138","Wydział Polonistyki",
"11010503","41011","50000137","Wydział Filologiczny",
"11010522","39814","50000141","Wydział Chemii",
"11010523","39965","50000141","Wydział Chemii",
"11010530","40452","50000134","Wydział Prawa i Administr",
"11010532","39814","50000134","Wydział Prawa i Administr",
"11010533","39814","50000134","Wydział Prawa i Administr",
"11010538","39934","50000053","Pion Prorektora ds. dydak",
"11010539","40909","50000053","Pion Prorektora ds. dydak",
"11010598","39934","50000053","Pion Prorektora ds. dydak",
"11010599","39814","50000142","Wydział Biologii i Nauk o",
"11010602","39814","50000140","Wydział Matematyki i Info",
"11010604","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010608","40483","50000139","Wydz. Fizyki, Astronom. i",
"11010611","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010638","40087","50000141","Wydział Chemii",
"11010653","39814","50000136","Wydział Historyczny",
"11010689","39814","50000141","Wydział Chemii",
"11010708","40544","50000142","Wydział Biologii i Nauk o",
"11010710","39814","50000139","Wydz. Fizyki, Astronom. i",
"11010725","41153","50000139","Wydz. Fizyki, Astronom. i",
"11010735","39814","50000137","Wydział Filologiczny",
"11010738","40848","50000138","Wydział Polonistyki",
"11010744","40817","50000145","Wydz. Studiów Międzynarod",
"11010748","39814","50000135","Wydział Filozoficzny",
"11010767","39814","50000142","Wydział Biologii i Nauk o",
"11010774","39965","50000136","Wydział Historyczny",
"11010775","39965","50000136","Wydział Historyczny",
"11010776","40848","50000135","Wydział Filozoficzny",
"11010777","40483","50000136","Wydział Historyczny",
"11010785","40634","50000137","Wydział Filologiczny",
"11010786","39814","50000140","Wydział Matematyki i Info",
"11010789","39814","50000135","Wydział Filozoficzny",
"11010796","40848","50000138","Wydział Polonistyki",
"11010799","39934","50000053","Pion Prorektora ds. dydak",
"11010801","40909","50000053","Pion Prorektora ds. dydak",
"11010802","39934","50000053","Pion Prorektora ds. dydak",
"11010803","39934","50000053","Pion Prorektora ds. dydak",
"11010804","39934","50000053","Pion Prorektora ds. dydak",
"11010805","39934","50000053","Pion Prorektora ds. dydak",
"11010806","39965","50000137","Wydział Filologiczny",
"11010807","39814","50000138","Wydział Polonistyki",
"11010833","39814","50000143","Wydz.Biochemii, Biofiz. i",
"11010835","39814","50000142","Wydział Biologii i Nauk o",
"11010837","41153","50000139","Wydz. Fizyki, Astronom. i",
"11010841","40087","50000141","Wydział Chemii",
"11010843","41153","50000135","Wydział Filozoficzny",
"11010854","40634","50000142","Wydział Biologii i Nauk o",
"11010856","40634","50000142","Wydział Biologii i Nauk o",
"11010859","39814","50000134","Wydział Prawa i Administr",
"11010862","39814","50000141","Wydział Chemii",
"11010864","39814","50000138","Wydział Polonistyki",
"11010876","41153","50000137","Wydział Filologiczny",
"11010879","41183","50000144","Wydz. Zarządz. i Komunika",
"11010908","40909","50000136","Wydział Historyczny",
"11010921","41275","50000055","Pion Pror. ds. polit. kad",
"11010954","39814","50000140","Wydział Matematyki i Info",
"11010955","39814","50000140","Wydział Matematyki i Info",
"11010959","40817","50000137","Wydział Filologiczny",
"11010972","39814","50000134","Wydział Prawa i Administr",
"11010974","39814","50000134","Wydział Prawa i Administr",
"11010975","39814","50000134","Wydział Prawa i Administr",
"11010979","39814","50000143","Wydz.Biochemii, Biofiz. i",
"11010982","39814","50000141","Wydział Chemii",
"11010989","39814","50000143","Wydz.Biochemii, Biofiz. i",
"11010996","41183","50000142","Wydział Biologii i Nauk o",
"11011002","41091","50000140","Wydział Matematyki i Info",
"11011045","39965","50000145","Wydz. Studiów Międzynarod",
"11011061","39965","50000141","Wydział Chemii",
"11011081","40695","50000138","Wydział Polonistyki",
"11011093","39934","50000053","Pion Prorektora ds. dydak",
"11011134","39814","50000139","Wydz. Fizyki, Astronom. i",
"11011136","39965","50000139","Wydz. Fizyki, Astronom. i",
"11011139","39965","50000139","Wydz. Fizyki, Astronom. i",
"11011146","41087","50000145","Wydz. Studiów Międzynarod",
